Title,Authors,PDF URL,Abstract URL
Backpropagating Linearly Improves Transferability of Adversarial Examples,"Yiwen Guo
Qizhang Li
Hao Chen",https://proceedings.neurips.cc/paper/2020/file/00e26af6ac3b1c1c49d7c3d79c60d000-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/00e26af6ac3b1c1c49d7c3d79c60d000-Abstract.html
Adversarially Robust Streaming Algorithms via Differential Privacy,"Avinatan Hasidim
Haim Kaplan
Yishay Mansour
Yossi Matias
Uri Stemmer",https://proceedings.neurips.cc/paper/2020/file/0172d289da48c48de8c5ebf3de9f7ee1-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/0172d289da48c48de8c5ebf3de9f7ee1-Abstract.html
Reciprocal Adversarial Learning via Characteristic Functions,"Shengxi Li
Zeyang Yu
Min Xiang
Danilo Mandic",https://proceedings.neurips.cc/paper/2020/file/021f6dd88a11ca489936ae770e4634ad-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/021f6dd88a11ca489936ae770e4634ad-Abstract.html
Over-parameterized Adversarial Training: An Analysis Overcoming the Curse of Dimensionality,"Yi Zhang
Orestis Plevrakis
Simon S. Du
Xingguo Li
Zhao Song
Sanjeev Arora",https://proceedings.neurips.cc/paper/2020/file/0740bb92e583cd2b88ec7c59f985cb41-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/0740bb92e583cd2b88ec7c59f985cb41-Abstract.html
Fairness without Demographics through Adversarially Reweighted Learning,"Preethi Lahoti
Alex Beutel
Jilin Chen
Kang Lee
Flavien Prost
Nithum Thain
Xuezhi Wang
Ed Chi",https://proceedings.neurips.cc/paper/2020/file/07fc15c9d169ee48573edd749d25945d-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/07fc15c9d169ee48573edd749d25945d-Abstract.html
A Game Theoretic Analysis of Additive Adversarial Attacks and Defenses,"Ambar Pal
Rene Vidal",https://proceedings.neurips.cc/paper/2020/file/0ea6f098a59fcf2462afc50d130ff034-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/0ea6f098a59fcf2462afc50d130ff034-Abstract.html
On Adaptive Attacks to Adversarial Example Defenses,"Florian Tramer
Nicholas Carlini
Wieland Brendel
Aleksander Madry",https://proceedings.neurips.cc/paper/2020/file/11f38f8ecd71867b42433548d1078e38-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/11f38f8ecd71867b42433548d1078e38-Abstract.html
Tight First- and Second-Order Regret Bounds for Adversarial Linear Bandits,"Shinji Ito
Shuichi Hirahara
Tasuku Soma
Yuichi Yoshida",https://proceedings.neurips.cc/paper/2020/file/15bb63b28926cd083b15e3b97567bbea-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/15bb63b28926cd083b15e3b97567bbea-Abstract.html
Adversarial Robustness of Supervised Sparse Coding,"Jeremias Sulam
Ramchandran Muthukumar
Raman Arora",https://proceedings.neurips.cc/paper/2020/file/170f6aa36530c364b77ddf83a84e7351-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/170f6aa36530c364b77ddf83a84e7351-Abstract.html
Biologically Inspired Mechanisms for Adversarial Robustness,"Manish Vuyyuru Reddy
Andrzej Banburski
Nishka Pant
Tomaso Poggio",https://proceedings.neurips.cc/paper/2020/file/17256f049f1e3fede17c7a313f7657f4-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/17256f049f1e3fede17c7a313f7657f4-Abstract.html
Adversarial Weight Perturbation Helps Robust Generalization,"Dongxian Wu
Shu-Tao Xia
Yisen Wang",https://proceedings.neurips.cc/paper/2020/file/1ef91c212e30e14bf125e9374262401f-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/1ef91c212e30e14bf125e9374262401f-Abstract.html
Adversarial Self-Supervised Contrastive Learning,"Minseon Kim
Jihoon Tack
Sung Ju Hwang",https://proceedings.neurips.cc/paper/2020/file/1f1baa5b8edac74eb4eaa329f14a0361-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/1f1baa5b8edac74eb4eaa329f14a0361-Abstract.html
Dual Manifold Adversarial Robustness: Defense against Lp and non-Lp Adversarial Attacks,"Wei-An Lin
Chun Pong Lau
Alexander Levine
Rama Chellappa
Soheil Feizi",https://proceedings.neurips.cc/paper/2020/file/23937b42f9273974570fb5a56a6652ee-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/23937b42f9273974570fb5a56a6652ee-Abstract.html
Do Adversarially Robust ImageNet Models Transfer Better?,"Hadi Salman
Andrew Ilyas
Logan Engstrom
Ashish Kapoor
Aleksander Madry",https://proceedings.neurips.cc/paper/2020/file/24357dd085d2c4b1a88a7e0692e60294-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/24357dd085d2c4b1a88a7e0692e60294-Abstract.html
On the Tightness of Semidefinite Relaxations for Certifying Robustness to Adversarial Examples,Richard Zhang,https://proceedings.neurips.cc/paper/2020/file/27b587bbe83aecf9a98c8fe6ab48cacc-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/27b587bbe83aecf9a98c8fe6ab48cacc-Abstract.html
Towards More Practical Adversarial Attacks on Graph Neural Networks,"Jiaqi Ma
Shuangrui Ding
Qiaozhu Mei",https://proceedings.neurips.cc/paper/2020/file/32bb90e8976aab5298d5da10fe66f21d-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/32bb90e8976aab5298d5da10fe66f21d-Abstract.html
Large-Scale Adversarial Training for Vision-and-Language Representation Learning,"Zhe Gan
Yen-Chun Chen
Linjie Li
Chen Zhu
Yu Cheng
Jingjing Liu",https://proceedings.neurips.cc/paper/2020/file/49562478de4c54fafd4ec46fdb297de5-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/49562478de4c54fafd4ec46fdb297de5-Abstract.html
Most ReLU Networks Suffer from ℓ2 ℓ 2 Adversarial Perturbations,"Amit Daniely
Hadas Shacham",https://proceedings.neurips.cc/paper/2020/file/497476fe61816251905e8baafdf54c23-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/497476fe61816251905e8baafdf54c23-Abstract.html
Once-for-All Adversarial Training: In-Situ Tradeoff between Robustness and Accuracy for Free,"Haotao N. Wang
Tianlong Chen
Shupeng Gui
TingKuei Hu
Ji Liu
Zhangyang Wang",https://proceedings.neurips.cc/paper/2020/file/537d9b6c927223c796cac288cced29df-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/537d9b6c927223c796cac288cced29df-Abstract.html
MRI Banding Removal via Adversarial Training,"Aaron Defazio
Tullie Murrell
Michael Recht",https://proceedings.neurips.cc/paper/2020/file/567b8f5f423af15818a068235807edc0-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/567b8f5f423af15818a068235807edc0-Abstract.html
Boosting Adversarial Training with Hypersphere Embedding,"Tianyu Pang
Xiao Yang
Yinpeng Dong
Taufik Xu
Jun Zhu
Hang Su",https://proceedings.neurips.cc/paper/2020/file/5898d8095428ee310bf7fa3da1864ff7-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/5898d8095428ee310bf7fa3da1864ff7-Abstract.html
Robust Reinforcement Learning via Adversarial training with Langevin Dynamics,"Parameswaran Kamalaruban
Yu-Ting Huang
Ya-Ping Hsieh
Paul Rolland
Cheng Shi
Volkan Cevher",https://proceedings.neurips.cc/paper/2020/file/5cb0e249689cd6d8369c4885435a56c2-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/5cb0e249689cd6d8369c4885435a56c2-Abstract.html
Adversarial Blocking Bandits,"Nicholas Bishop
Hau Chan
Debmalya Mandal
Long Tran-Thanh",https://proceedings.neurips.cc/paper/2020/file/5cc3749a6e56ef6d656735dff9176074-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/5cc3749a6e56ef6d656735dff9176074-Abstract.html
Adversarial Distributional Training for Robust Deep Learning,"Yinpeng Dong
Zhijie Deng
Tianyu Pang
Jun Zhu
Hang Su",https://proceedings.neurips.cc/paper/2020/file/5de8a36008b04a6167761fa19b61aa6c-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/5de8a36008b04a6167761fa19b61aa6c-Abstract.html
Targeted Adversarial Perturbations for Monocular Depth Prediction,"Alex Wong
Safa Cicek
Stefano Soatto",https://proceedings.neurips.cc/paper/2020/file/609e9d4bcc8157c00808993f612f1acd-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/609e9d4bcc8157c00808993f612f1acd-Abstract.html
Adversarial Example Games,"Joey Bose
Gauthier Gidel
Hugo Berard
Andre Cianflone
Pascal Vincent
Simon Lacoste-Julien
Will Hamilton",https://proceedings.neurips.cc/paper/2020/file/65586803f1435736f42a541d3a924595-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/65586803f1435736f42a541d3a924595-Abstract.html
Provably Efficient Neural Estimation of Structural Equation Models: An Adversarial Approach,"Luofeng Liao
You-Lin Chen
Zhuoran Yang
Bo Dai
Mladen Kolar
Zhaoran Wang",https://proceedings.neurips.cc/paper/2020/file/65a99bb7a3115fdede20da98b08a370f-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/65a99bb7a3115fdede20da98b08a370f-Abstract.html
Adversarial Learning for Robust Deep Clustering,"Xu Yang
Cheng Deng
Kun Wei
Junchi Yan
Wei Liu",https://proceedings.neurips.cc/paper/2020/file/6740526b78c0b230e41ae61d8ca07cf5-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/6740526b78c0b230e41ae61d8ca07cf5-Abstract.html
GNNGuard: Defending Graph Neural Networks against Adversarial Attacks,"Xiang Zhang
Marinka Zitnik",https://proceedings.neurips.cc/paper/2020/file/690d83983a63aa1818423fd6edd3bfdb-Paper.pdf,https://proceedings.neurips.cc/paper/2020/hash/690d83983a63aa1818423fd6edd3bfdb-Abstract.html
