Venue,Title,Authors,Semantic Scholar URL
2018 Digital Image Computing: Techniques and Applications (DICTA),Data Augmentation using Evolutionary Image Processing,"Kosaku Fujita
Masayuki Kobayashi
T. Nagao",https://www.semanticscholar.org/paper/a16be554dd7d214fa97aa251756eb54837ab0d11
"2019 53rd Asilomar Conference on Signals, Systems, and Computers",Automated Augmentation with Reinforcement Learning and GANs for Robust Identification of Traffic Signs using Front Camera Images,"S. Chowdhury
L. Tornberg
Robin Halvfordsson
Jonatan Nordh
A. Gustafsson
Joel Wall
Mattias Westerberg
Adam Wirehed
Louis Tilloy
Zhanying Hu
H. Tan
Meng Pan
J. Sjöberg",https://www.semanticscholar.org/paper/5a8a4e920300f25f067aa5d6f38c5ebdcd348601
2019 Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC),Improving code-switching speech recognition with data augmentation and system combination,"Duo Ma
Guanyu Li
Haihua Xu
Chng Eng Siong",https://www.semanticscholar.org/paper/372c5d344ed390fbace1e0169deef846857f7f32
2019 IEEE 10th International Conference on Software Engineering and Service Science (ICSESS),Software Engineering for Dataset Augmentation using Generative Adversarial Networks,"Benjamin Jahic
Nicolas Guelfi
B. Ries",https://www.semanticscholar.org/paper/1af8b0ba4802b04b983f0844cca8e31df461a9a0
2019 IEEE 19th International Conference on Bioinformatics and Bioengineering (BIBE),Towards a Robust and Accurate Screening Tool for Dyslexia with Data Augmentation using GANs,"Thomais Asvestopoulou
Victoria Manousaki
Antonis Psistakis
Erjona Nikolli
Vassilios Andreadakis
I. Aslanides
Yannis Pantazis
I. Smyrnakis
M. Papadopouli",https://www.semanticscholar.org/paper/c9cb7e871da4a756c854434dd2db79d3f30713e3
2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),Data Augmentation Using Learned Transformations for One-Shot Medical Image Segmentation,"Amy Zhao
G. Balakrishnan
F. Durand
J. Guttag
Adrian V. Dalca",https://www.semanticscholar.org/paper/a8a742c5bc8eb1f64de7e6b37b146f71317a691f
2019 IEEE/CVF International Conference on Computer Vision (ICCV),Online Hyper-Parameter Learning for Auto-Augmentation Strategy,"C. Lin
Minghao Guo
Chuming Li
Wei Wu
D. Lin
Wanli Ouyang
J. Yan",https://www.semanticscholar.org/paper/b4fe262c65625b965ec208240f89c18d2e04f77f
2019 IEEE/CVF International Conference on Computer Vision (ICCV),Attention Augmented Convolutional Networks,"I. Bello
Barret Zoph
Ashish Vaswani
Jonathon Shlens
Quoc V. Le",https://www.semanticscholar.org/paper/27ac832ee83d8b5386917998a171a0257e2151e2
2019 IEEE/CVF International Conference on Computer Vision Workshop (ICCVW),Augmentation Invariant Training,"Weicong Chen
Lu Tian
L. Fan
Yu Wang",https://www.semanticscholar.org/paper/0c117bea8b3bb8344607363bc13861f28bd6f188
2019 IEEE/CVF International Conference on Computer Vision Workshop (ICCVW),Patch-Level Augmentation for Object Detection in Aerial Images,"Sungeun Hong
Sungil Kang
Donghyeon Cho",https://www.semanticscholar.org/paper/a5f73c108ca391fbed96774d22bf57859eb40970
2019 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Learning to Augment Synthetic Images for Sim2Real Policy Transfer,"Alexander Pashevich
Robin A. M. Strudel
Igor Kalevatykh
I. Laptev
C. Schmid",https://www.semanticscholar.org/paper/6b7f9d3aeb37b77569099d3c0f6fa9e8f17f412f
2020 21st International Symposium on Quality Electronic Design (ISQED),Efficient Training of Deep Convolutional Neural Networks by Augmentation in Embedding Space,"Mohammad Saeed Abrishami
Amir Erfan Eshratifar
D. Eigen
Yanzhi Wang
S. Nazarian
M. Pedram",https://www.semanticscholar.org/paper/d0fe8582673df56547e01e08ed0bcf732ecaa345
2020 Chinese Control And Decision Conference (CCDC),A Novel Data Augmentation Method Using Style-Based GAN for Robust Pulmonary Nodule Segmentation,"Haoqi Shi
Junguo Lu
Qianjun Zhou",https://www.semanticscholar.org/paper/923abe8bbe3be05862dec2cf87a1310863d39b0d
2020 IEEE 16th International Conference on Automation Science and Engineering (CASE),Data Augmentation for Deep Learning based Cattle Segmentation in Precision Livestock Farming,"Yongliang Qiao
Daobilige Su
He Kong
S. Sukkarieh
S. Lomax
C. Clark",https://www.semanticscholar.org/paper/944af9311d93d39642eb54075e006460f007a0ed
2020 IEEE 17th International Symposium on Biomedical Imaging (ISBI),Supervised Augmentation: Leverage Strong Annotation for Limited Data,"Han Zheng
Hong Shang
Zhongqian Sun
Xinghui Fu
Jianhua Yao
Junzhou Huang",https://www.semanticscholar.org/paper/232eb61ea115f193bb3a574e83a07bbf6682c220
2020 IEEE 63rd International Midwest Symposium on Circuits and Systems (MWSCAS),A-MnasNet: Augmented MnasNet for Computer Vision,"Prasham Shah
Mohamed El-Sharkawy",https://www.semanticscholar.org/paper/80a236f22429f63d142c5b0aba7200e86277a36c
2020 IEEE International Conference on Multimedia and Expo (ICME),KINMIX: A Data Augmentation Approach for Kinship Verification,"Chaohui Song
Haibin Yan",https://www.semanticscholar.org/paper/8ad7ec5f846ec9b6ec20fcb6a44987fe5bc88333
