Large Batch Optimization for Deep Learning: Training BERT in 76 minutes,"

Yang You
, 
Jing Li
, 
Sashank Reddi
, 
Jonathan Hseu
, 
Sanjiv Kumar
, 
Srinadh Bhojanapalli
, 
Xiaodan Song
, 
James Demmel
, 
Kurt Keutzer
, 
Cho-Jui Hsieh

","large-batch optimization
distributed training
fast optimizer",A fast optimizer for general applications and large-batch training.
SELF: Learning to Filter Noisy Labels with Self-Ensembling,"

Duc Tam Nguyen
, 
Chaithanya Kumar Mummadi
, 
Thi Phuong Nhung Ngo
, 
Thi Hoai Phuong Nguyen
, 
Laura Beggel
, 
Thomas Brox

","Ensemble Learning
Robust Learning
Noisy Labels
Labels Filtering",We propose a self-ensemble framework to train more robust deep learning models under noisy labeled datasets.
Reinforcement Learning Based Graph-to-Sequence Model for Natural Question Generation,"

Yu Chen
, 
Lingfei Wu
, 
Mohammed J. Zaki

","deep learning
reinforcement learning
graph neural networks
natural language processing
question generation",
Sharing Knowledge in Multi-Task Deep Reinforcement Learning,"

Carlo D'Eramo
, 
Davide Tateo
, 
Andrea Bonarini
, 
Marcello Restelli
, 
Jan Peters

","Deep Reinforcement Learning
Multi-Task",A study on the benefit of sharing representation in Multi-Task Reinforcement Learning.
On the Weaknesses of Reinforcement Learning for Neural Machine Translation,"

Leshem Choshen
, 
Lior Fox
, 
Zohar Aizenbud
, 
Omri Abend

","Reinforcement learning
MRT
minimum risk training
reinforce
machine translation
peakkiness
generation",Reinforcment practices for machine translation performance gains might not come from better predictions.
StructPool: Structured Graph Pooling via Conditional Random Fields,"

Hao Yuan
, 
Shuiwang Ji

","Graph Pooling
Representation Learning
Graph Analysis",A novel graph pooling method considering relationships between different nodes via conditional random fields.
Learning deep graph matching with channel-independent embedding and Hungarian attention,"

Tianshu Yu
, 
Runzhong Wang
, 
Junchi Yan
, 
Baoxin Li

","deep graph matching
edge embedding
combinatorial problem
Hungarian loss","We proposed a deep graph matching method with novel channel-independent embedding and Hungarian loss, which achieved state-of-the-art performance."
Graph inference learning for semi-supervised classification,"

Chunyan Xu
, 
Zhen Cui
, 
Xiaobin Hong
, 
Tong Zhang
, 
Jian Yang
, 
Wei Liu

","semi-supervised classification
graph inference learning", We propose a novel graph inference learning framework by building structure relations to infer unknown node labels from those labeled nodes in an end-to-end way.
SQIL: Imitation Learning via Reinforcement Learning with Sparse Rewards,"

Siddharth Reddy
, 
Anca D. Dragan
, 
Sergey Levine

","Imitation Learning
Reinforcement Learning","A simple and effective alternative to adversarial imitation learning: initialize experience replay buffer with demonstrations, set their reward to +1, set reward for all other data to 0, run Q-learning or soft actor-critic to train."
Neural Oblivious Decision Ensembles for Deep Learning on Tabular Data,"

Sergei Popov
, 
Stanislav Morozov
, 
Artem Babenko

","tabular data
architectures
DNN",We propose a new DNN architecture for deep learning on tabular data
Mutual Mean-Teaching: Pseudo Label Refinery for Unsupervised Domain Adaptation on Person Re-identification,"

Yixiao Ge
, 
Dapeng Chen
, 
Hongsheng Li

","Label Refinery
Unsupervised Domain Adaptation
Person Re-identification",A framework that conducts online refinement of pseudo labels with a novel soft softmax-triplet loss for unsupervised domain adaptation on person re-identification.
Automatically Discovering and Learning New Visual Categories with Ranking Statistics,"

Kai Han
, 
Sylvestre-Alvise Rebuffi
, 
Sebastien Ehrhardt
, 
Andrea Vedaldi
, 
Andrew Zisserman

","deep learning
classification
novel classes
transfer learning
clustering
incremental learning","A method to automatically discover new categories in unlabelled data, by effectively transferring knowledge from labelled data of other different categories using feature rank statistics."
Maxmin Q-learning: Controlling the Estimation Bias of Q-learning,"

Qingfeng Lan
, 
Yangchen Pan
, 
Alona Fyshe
, 
Martha White

","reinforcement learning
bias and variance reduction",We propose a new variant of Q-learning algorithm called Maxmin Q-learning which provides a parameter-tuning mechanism to flexibly control bias.
Federated Adversarial Domain Adaptation,"

Xingchao Peng
, 
Zijun Huang
, 
Yizhe Zhu
, 
Kate Saenko

","Federated Learning
Domain Adaptation
Transfer Learning
Feature Disentanglement","we present a principled approach to the problem of federated domain adaptation, which aims to align the representations learned among the different nodes with the data distribution of the target node."
Depth-Adaptive Transformer,"

Maha Elbayad
, 
Jiatao Gu
, 
Edouard Grave
, 
Michael Auli

","Deep learning
natural language processing
sequence modeling",Sequence model that dynamically adjusts the amount of computation for each input.
DeepHoyer: Learning Sparser Neural Network with Differentiable Scale-Invariant Sparsity Measures,"

Huanrui Yang
, 
Wei Wen
, 
Hai Li

","Deep neural network
Sparsity inducing regularizer
Model compression","We propose almost everywhere differentiable and scale invariant regularizers for DNN pruning, which can lead to supremum sparsity through standard SGD training."
Evaluating The Search Phase of Neural Architecture Search,"

Kaicheng Yu
, 
Christian Sciuto
, 
Martin Jaggi
, 
Claudiu Musat
, 
Mathieu Salzmann

","Neural architecture search
parameter sharing
random search
evaluation framework",We empirically disprove a fundamental hypothesis of the widely-adopted weight sharing strategy in neural architecture search and explain why the state-of-the-arts NAS algorithms performs similarly to random search.
Diverse Trajectory Forecasting with Determinantal Point Processes,"

Ye Yuan
, 
Kris M. Kitani

","Diverse Inference
Generative Models
Trajectory Forecasting",We learn a diversity sampling function with DPPs to obtain a diverse set of samples from a generative model.
ProxSGD: Training Structured Neural Networks under Regularization and Constraints,"

Yang Yang
, 
Yaxiong Yuan
, 
Avraam Chatzimichailidis
, 
Ruud JG van Sloun
, 
Lei Lei
, 
Symeon Chatzinotas

","stochastic gradient descent
regularization
constrained optimization
nonsmooth optimization",We propose a convergent proximal-type stochastic gradient descent algorithm for constrained nonsmooth nonconvex optimization problems
LAMOL: LAnguage MOdeling for Lifelong Language Learning,"

Fan-Keng Sun*
, 
Cheng-Hao Ho*
, 
Hung-Yi Lee

","NLP
Deep Learning
Lifelong Learning",Language modeling for lifelong language learning.
