"Title"	"Authors"	"PDF"	"Supplementary PDF"	"Code"	"Abstract"
"Black-box Certification and Learning under Adversarial Perturbations"	"Hassan Ashtiani, Vinayak Pathak, Ruth Urner"	"http://proceedings.mlr.press/v119/ashtiani20a/ashtiani20a.pdf"	"http://proceedings.mlr.press/v119/ashtiani20a/ashtiani20a-supp.pdf"	"--"	"We formally study the problem of classification under adversarial perturbations from a learner’s perspective as well as a third-party who aims at certifying the robustness of a given black-box classifier. We analyze a PAC-type framework of semi-supervised learning and identify possibility and impossibility results for proper learning of VC-classes in this setting. We further introduce a new setting of black-box certification under limited query budget, and analyze this for various classes of predictors and perturbation. We also consider the viewpoint of a black-box adversary that aims at finding adversarial examples, showing that the existence of an adversary with polynomial query complexity can imply the existence of a sample efficient robust learner."
"Adversarial Learning Guarantees for Linear Hypotheses and Neural Networks"	"Pranjal Awasthi, Natalie Frank, Mehryar Mohri"	"http://proceedings.mlr.press/v119/awasthi20a/awasthi20a.pdf"	"http://proceedings.mlr.press/v119/awasthi20a/awasthi20a-supp.pdf"	"--"	"Adversarial or test time robustness measures the susceptibility of a classifier to perturbations to the test input. While there has been a flurry of recent work on designing defenses against such perturbations, the theory of adversarial robustness is not well understood. In order to make progress on this, we focus on the problem of understanding generalization in adversarial settings, via the lens of Rademacher complexity. We give upper and lower bounds for the adversarial empirical Rademacher complexity of linear hypotheses with adversarial perturbations measured in $l_r$-norm for an arbitrary $r \geq 1$. We then extend our analysis to provide Rademacher complexity lower and upper bounds for a single ReLU unit. Finally, we give adversarial Rademacher complexity bounds for feed-forward neural networks with one hidden layer."
"Defense Through Diverse Directions"	"Christopher Bender, Yang Li, Yifeng Shi, Michael K. Reiter, Junier Oliva"	"http://proceedings.mlr.press/v119/bender20a/bender20a.pdf"	"http://proceedings.mlr.press/v119/bender20a/bender20a-supp.pdf"	"https://github.com/lupalab/diverse_defense"	"In this work we develop a novel Bayesian neural network methodology to achieve strong adversarial robustness without the need for online adversarial training. Unlike previous efforts in this direction, we do not rely solely on the stochasticity of network weights by minimizing the divergence between the learned parameter distribution and a prior. Instead, we additionally require that the model maintain some expected uncertainty with respect to all input covariates. We demonstrate that by encouraging the network to distribute evenly across inputs, the network becomes less susceptible to localized, brittle features which imparts a natural robustness to targeted perturbations. We show empirical robustness on several benchmark datasets."
"When are Non-Parametric Methods Robust?"	"Robi Bhattacharjee, Kamalika Chaudhuri"	"http://proceedings.mlr.press/v119/bhattacharjee20a/bhattacharjee20a.pdf"	"http://proceedings.mlr.press/v119/bhattacharjee20a/bhattacharjee20a-supp.pdf"	"--"	"A growing body of research has shown that many classifiers are susceptible to adversarial examples – small strategic modifications to test inputs that lead to misclassification. In this work, we study general non-parametric methods, with a view towards understanding when they are robust to these modifications. We establish general conditions under which non-parametric methods are r-consistent – in the sense that they converge to optimally robust and accurate classifiers in the large sample limit. Concretely, our results show that when data is well-separated, nearest neighbors and kernel classifiers are r-consistent, while histograms are not. For general data distributions, we prove that preprocessing by Adversarial Pruning (Yang et. al., 2019)– that makes data well-separated – followed by nearest neighbors or kernel classifiers also leads to r-consistency."
"Adversarial Robustness for Code"	"Pavol Bielik, Martin Vechev"	"http://proceedings.mlr.press/v119/bielik20a/bielik20a.pdf"	"http://proceedings.mlr.press/v119/bielik20a/bielik20a-supp.pdf"	"https://github.com/eth-sri/robust-code"	"Machine learning and deep learning in particular has been recently used to successfully address many tasks in the domain of code such as finding and fixing bugs, code completion, decompilation, type inference and many others. However, the issue of adversarial robustness of models for code has gone largely unnoticed. In this work, we explore this issue by: (i) instantiating adversarial attacks for code (a domain with discrete and highly structured inputs), (ii) showing that, similar to other domains, neural models for code are vulnerable to adversarial attacks, and (iii) combining existing and novel techniques to improve robustness while preserving high accuracy."
"Proper Network Interpretability Helps Adversarial Robustness in Classification"	"Akhilan Boopathy, Sijia Liu, Gaoyuan Zhang, Cynthia Liu, Pin-Yu Chen, Shiyu Chang, Luca Daniel"	"http://proceedings.mlr.press/v119/boopathy20a/boopathy20a.pdf"	"http://proceedings.mlr.press/v119/boopathy20a/boopathy20a-supp.pdf"	"https://github.com/AkhilanB/Proper-Interpretability"	"Recent works have empirically shown that there exist adversarial examples that can be hidden from neural network interpretability (namely, making network interpretation maps visually similar), or interpretability is itself susceptible to adversarial attacks. In this paper, we theoretically show that with a proper measurement of interpretation, it is actually difficult to prevent prediction-evasion adversarial attacks from causing interpretation discrepancy, as confirmed by experiments on MNIST, CIFAR-10 and Restricted ImageNet. Spurred by that, we develop an interpretability-aware defensive scheme built only on promoting robust interpretation (without the need for resorting to adversarial loss minimization). We show that our defense achieves both robust classification and robust interpretation, outperforming state-of-the-art adversarial training methods against attacks of large perturbation in particular."
"Concise Explanations of Neural Networks using Adversarial Training"	"Prasad Chalasani, Jiefeng Chen, Amrita Roy Chowdhury, Xi Wu, Somesh Jha"	"http://proceedings.mlr.press/v119/chalasani20a/chalasani20a.pdf"	"http://proceedings.mlr.press/v119/chalasani20a/chalasani20a-supp.pdf"	"https://github.com/jfc43/advex"	"We show new connections between adversarial learning and explainability for deep neural networks (DNNs). One form of explanation of the output of a neural network model in terms of its input features, is a vector of feature-attributions, which can be generated by various techniques such as Integrated Gradients (IG), DeepSHAP, LIME, and CXPlain. Two desirable characteristics of an attribution-based explanation are: (1) \emph{sparseness}: the attributions of irrelevant or weakly relevant features should be negligible, thus resulting in \emph{concise} explanations in terms of the significant features, and (2) \emph{stability}: it should not vary significantly within a small local neighborhood of the input. Our first contribution is a theoretical exploration of how these two properties (when using IG-based attributions) are related to adversarial training, for a class of 1-layer networks (which includes logistic regression models for binary and multi-class classification); for these networks we show that (a) adversarial training using an $\ell_\infty$-bounded adversary produces models with sparse attribution vectors, and (b) natural model-training while encouraging stable explanations (via an extra term in the loss function), is equivalent to adversarial training. Our second contribution is an empirical verification of phenomenon (a), which we show, somewhat surprisingly, occurs \emph{not only in 1-layer networks, but also DNNs trained on standard image datasets}, and extends beyond IG-based attributions, to those based on DeepSHAP: adversarial training with $\linf$-bounded perturbations yields significantly sparser attribution vectors, with little degradation in performance on natural test data, compared to natural training. Moreover, the sparseness of the attribution vectors is significantly better than that achievable via $\ell_1$-regularized natural training."
"Stabilizing Differentiable Architecture Search via Perturbation-based Regularization"	"Xiangning Chen, Cho-Jui Hsieh"	"http://proceedings.mlr.press/v119/chen20f/chen20f.pdf"	"http://proceedings.mlr.press/v119/chen20f/chen20f-supp.pdf"	"https://github.com/xiangning-chen/SmoothDARTS"	"Differentiable architecture search (DARTS) is a prevailing NAS solution to identify architectures. Based on the continuous relaxation of the architecture space, DARTS learns a differentiable architecture weight and largely reduces the search cost. However, its stability has been challenged for yielding deteriorating architectures as the search proceeds. We find that the precipitous validation loss landscape, which leads to a dramatic performance drop when distilling the final architecture, is an essential factor that causes instability. Based on this observation, we propose a perturbation-based regularization - SmoothDARTS (SDARTS), to smooth the loss landscape and improve the generalizability of DARTS-based methods. In particular, our new formulations stabilize DARTS-based methods by either random smoothing or adversarial attack. The search trajectory on NAS-Bench-1Shot1 demonstrates the effectiveness of our approach and due to the improved stability, we achieve performance gain across various search spaces on 4 datasets. Furthermore, we mathematically show that SDARTS implicitly regularizes the Hessian norm of the validation loss, which accounts for a smoother loss landscape and improved performance."
"More Data Can Expand The Generalization Gap Between Adversarially Robust and Standard Models"	"Lin Chen, Yifei Min, Mingrui Zhang, Amin Karbasi"	"http://proceedings.mlr.press/v119/chen20q/chen20q.pdf"	"http://proceedings.mlr.press/v119/chen20q/chen20q-supp.pdf"	"--"	"Despite remarkable success in practice, modern machine learning models have been found to be susceptible to adversarial attacks that make human-imperceptible perturbations to the data, but result in serious and potentially dangerous prediction errors. To address this issue, practitioners often use adversarial training to learn models that are robust against such attacks at the cost of higher generalization error on unperturbed test sets. The conventional wisdom is that more training data should shrink the gap between the generalization error of adversarially-trained models and standard models. However, we study the training of robust classifiers for both Gaussian and Bernoulli models under $\ell_\infty$ attacks, and we prove that more data may actually increase this gap. Furthermore, our theoretical results identify if and when additional data will finally begin to shrink the gap. Lastly, we experimentally demonstrate that our results also hold for linear regression models, which may indicate that this phenomenon occurs more broadly."
"Negative Sampling in Semi-Supervised learning"	"John Chen, Vatsal Shah, Anastasios Kyrillidis"	"http://proceedings.mlr.press/v119/chen20t/chen20t.pdf"	"http://proceedings.mlr.press/v119/chen20t/chen20t-supp.pdf"	"https://github.com/johnchenresearch/NS3L"	"We introduce Negative Sampling in Semi-Supervised Learning (NS^3L), a simple, fast, easy to tune algorithm for semi-supervised learning (SSL). NS^3L is motivated by the success of negative sampling/contrastive estimation. We demonstrate that adding the NS^3L loss to state-of-the-art SSL algorithms, such as the Virtual Adversarial Training (VAT), significantly improves upon vanilla VAT and its variant, VAT with Entropy Minimization. By adding the NS^3L loss to MixMatch, the current state-of-the-art approach on semi-supervised tasks, we observe significant improvements over vanilla MixMatch. We conduct extensive experiments on the CIFAR10, CIFAR100, SVHN and STL10 benchmark datasets. Finally, we perform an ablation study for NS3L regarding its hyperparameter tuning."
